fund_name,manager_name,vintage_year,strategy,geography,irr,tvpi,dpi,nav,commitment,paid_in,distributions,fund_size,source_name,source_file,source_page,raw_text,data_quality_flag,irr_numeric,tvpi_numeric,dpi_numeric,irr_vintage_percentile,irr_vintage_quartile,tvpi_vintage_percentile,tvpi_vintage_quartile,dpi_vintage_percentile,dpi_vintage_quartile,irr_quartile_score,tvpi_quartile_score,dpi_quartile_score,overall_quartile_score,overall_vintage_quartile,vintage_benchmark_label,internal_score,allocator_memo_short
Capital A Fund IV,Capital A Fund,2021.0,buyout,europe,,,,,,,,€358m,UBS PFG,UBS PFG - Global Funds Coming to Market_Q1 2026.pdf,65,Capital A Fund IV €358m 2021,clean_extraction,,,,,,,,,,,,,,,Insufficient performance data,,"Capital A Fund IV by Capital A Fund is included from UBS PFG - Global Funds Coming to Market_Q1 2026.pdf. The extracted data currently includes vintage/strategy/geography information but does not include enough IRR, TVPI, or DPI data to calculate a full vintage quartile."
Capital Fund II,Capital Fund,2026.0,buyout,europe,,,,,,,,€255m,UBS PFG,UBS PFG - Global Funds Coming to Market_Q1 2026.pdf,65,365 Capital Fund II €255m* Held Close,clean_extraction,,,,,,,,,,,,,,,Insufficient performance data,,"Capital Fund II by Capital Fund is included from UBS PFG - Global Funds Coming to Market_Q1 2026.pdf. The extracted data currently includes vintage/strategy/geography information but does not include enough IRR, TVPI, or DPI data to calculate a full vintage quartile."
Connected Capital & Partners Fund II,Connected Capital,2022.0,buyout,europe,,,,,,,,€154m,UBS PFG,UBS PFG - Global Funds Coming to Market_Q1 2026.pdf,65,Connected Capital & Partners Fund II €154m 2022,clean_extraction,,,,,,,,,,,,,,,Insufficient performance data,,"Connected Capital & Partners Fund II by Connected Capital is included from UBS PFG - Global Funds Coming to Market_Q1 2026.pdf. The extracted data currently includes vintage/strategy/geography information but does not include enough IRR, TVPI, or DPI data to calculate a full vintage quartile."
Fields Fund III,Fields Fund,2026.0,buyout,europe,,,,,,,,€140m,UBS PFG,UBS PFG - Global Funds Coming to Market_Q1 2026.pdf,65,Fields Fund III €140m* Raising,clean_extraction,,,,,,,,,,,,,,,Insufficient performance data,,"Fields Fund III by Fields Fund is included from UBS PFG - Global Funds Coming to Market_Q1 2026.pdf. The extracted data currently includes vintage/strategy/geography information but does not include enough IRR, TVPI, or DPI data to calculate a full vintage quartile."
Gilde Healthcare VI,Gilde Healthcare,2023.0,buyout,europe,,,,,,,,€740m,UBS PFG,UBS PFG - Global Funds Coming to Market_Q1 2026.pdf,65,Gilde Healthcare VI €740m 2023,clean_extraction,,,,,,,,,,,,,,,Insufficient performance data,,"Gilde Healthcare VI by Gilde Healthcare is included from UBS PFG - Global Funds Coming to Market_Q1 2026.pdf. The extracted data currently includes vintage/strategy/geography information but does not include enough IRR, TVPI, or DPI data to calculate a full vintage quartile."
H2 Equity Partners Fund VII,H2 Equity,2026.0,buyout,europe,,,,,,,,€300m,UBS PFG,UBS PFG - Global Funds Coming to Market_Q1 2026.pdf,65,H2 Equity Partners Fund VII €300m* Held Close,clean_extraction,,,,,,,,,,,,,,,Insufficient performance data,,"H2 Equity Partners Fund VII by H2 Equity is included from UBS PFG - Global Funds Coming to Market_Q1 2026.pdf. The extracted data currently includes vintage/strategy/geography information but does not include enough IRR, TVPI, or DPI data to calculate a full vintage quartile."
HPE Growth Fund III,HPE Growth Fund,2026.0,buyout,europe,,,,,,,,€350m,UBS PFG,UBS PFG - Global Funds Coming to Market_Q1 2026.pdf,65,HPE Growth Fund III €350m* Raising,clean_extraction,,,,,,,,,,,,,,,Insufficient performance data,,"HPE Growth Fund III by HPE Growth Fund is included from UBS PFG - Global Funds Coming to Market_Q1 2026.pdf. The extracted data currently includes vintage/strategy/geography information but does not include enough IRR, TVPI, or DPI data to calculate a full vintage quartile."
IceLake Capital Fund III,IceLake Capital,,buyout,europe,,,,,,,,€700m,UBS PFG,UBS PFG - Global Funds Coming to Market_Q1 2026.pdf,65,Status/Vintage | 2026 | 2027 and Beyond | IceLake Capital Fund III | €700m* | Held Close | Bencis Buyout Fund VII | €625m* | Held Close,clean_extraction,,,,,,,,,,,,,,,Insufficient performance data,,"IceLake Capital Fund III by IceLake Capital is included from UBS PFG - Global Funds Coming to Market_Q1 2026.pdf. The extracted data currently includes vintage/strategy/geography information but does not include enough IRR, TVPI, or DPI data to calculate a full vintage quartile."
Lexar Partners Fund II,Lexar Partners,2026.0,buyout,europe,,,,,,,,€120m,UBS PFG,UBS PFG - Global Funds Coming to Market_Q1 2026.pdf,65,Lexar Partners Fund II €120m* Raising,clean_extraction,,,,,,,,,,,,,,,Insufficient performance data,,"Lexar Partners Fund II by Lexar Partners is included from UBS PFG - Global Funds Coming to Market_Q1 2026.pdf. The extracted data currently includes vintage/strategy/geography information but does not include enough IRR, TVPI, or DPI data to calculate a full vintage quartile."
M80 Capital Comm. V,M80 Capital,2021.0,buyout,europe,,,,,,,,€210m,UBS PFG,UBS PFG - Global Funds Coming to Market_Q1 2026.pdf,65,M80 Capital Comm. V €210m 2021,clean_extraction,,,,,,,,,,,,,,,Insufficient performance data,,"M80 Capital Comm. V by M80 Capital is included from UBS PFG - Global Funds Coming to Market_Q1 2026.pdf. The extracted data currently includes vintage/strategy/geography information but does not include enough IRR, TVPI, or DPI data to calculate a full vintage quartile."
Main Capital VIII,Main Capital,2024.0,buyout,europe,,,,,,,,"€1,900m",UBS PFG,UBS PFG - Global Funds Coming to Market_Q1 2026.pdf,65,"Main Capital VIII €1,900m 2024",clean_extraction,,,,,,,,,,,,,,,Insufficient performance data,,"Main Capital VIII by Main Capital is included from UBS PFG - Global Funds Coming to Market_Q1 2026.pdf. The extracted data currently includes vintage/strategy/geography information but does not include enough IRR, TVPI, or DPI data to calculate a full vintage quartile."
Main Foundation II,Main Foundation,2024.0,buyout,europe,,,,,,,,€507m,UBS PFG,UBS PFG - Global Funds Coming to Market_Q1 2026.pdf,65,Main Foundation II €507m 2024,clean_extraction,,,,,,,,,,,,,,,Insufficient performance data,,"Main Foundation II by Main Foundation is included from UBS PFG - Global Funds Coming to Market_Q1 2026.pdf. The extracted data currently includes vintage/strategy/geography information but does not include enough IRR, TVPI, or DPI data to calculate a full vintage quartile."
Mentha Capital VII,Mentha Capital,2022.0,buyout,europe,,,,,,,,€264m,UBS PFG,UBS PFG - Global Funds Coming to Market_Q1 2026.pdf,65,Mentha Capital VII €264m 2022,clean_extraction,,,,,,,,,,,,,,,Insufficient performance data,,"Mentha Capital VII by Mentha Capital is included from UBS PFG - Global Funds Coming to Market_Q1 2026.pdf. The extracted data currently includes vintage/strategy/geography information but does not include enough IRR, TVPI, or DPI data to calculate a full vintage quartile."
NewPort Buyout Fund III,NewPort Buyout Fund,2026.0,buyout,europe,,,,,,,,€200m,UBS PFG,UBS PFG - Global Funds Coming to Market_Q1 2026.pdf,65,NewPort Buyout Fund III €200m* Held Close,clean_extraction,,,,,,,,,,,,,,,Insufficient performance data,,"NewPort Buyout Fund III by NewPort Buyout Fund is included from UBS PFG - Global Funds Coming to Market_Q1 2026.pdf. The extracted data currently includes vintage/strategy/geography information but does not include enough IRR, TVPI, or DPI data to calculate a full vintage quartile."
Nordian Fund III,Nordian Fund,2020.0,buyout,europe,,,,,,,,€320m,UBS PFG,UBS PFG - Global Funds Coming to Market_Q1 2026.pdf,65,Nordian Fund III €320m 2020,clean_extraction,,,,,,,,,,,,,,,Insufficient performance data,,"Nordian Fund III by Nordian Fund is included from UBS PFG - Global Funds Coming to Market_Q1 2026.pdf. The extracted data currently includes vintage/strategy/geography information but does not include enough IRR, TVPI, or DPI data to calculate a full vintage quartile."
Nyver Capital Management,Nyver Capital,2026.0,buyout,europe,,,,,,,,€250m,UBS PFG,UBS PFG - Global Funds Coming to Market_Q1 2026.pdf,65,Nyver Capital Management €250m* Raising,clean_extraction,,,,,,,,,,,,,,,Insufficient performance data,,"Nyver Capital Management by Nyver Capital is included from UBS PFG - Global Funds Coming to Market_Q1 2026.pdf. The extracted data currently includes vintage/strategy/geography information but does not include enough IRR, TVPI, or DPI data to calculate a full vintage quartile."
One Two Capital,One Two Capital,2026.0,buyout,europe,,,,,,,,€100m,UBS PFG,UBS PFG - Global Funds Coming to Market_Q1 2026.pdf,65,One Two Capital €100m* Held Close,clean_extraction,,,,,,,,,,,,,,,Insufficient performance data,,"One Two Capital by One Two Capital is included from UBS PFG - Global Funds Coming to Market_Q1 2026.pdf. The extracted data currently includes vintage/strategy/geography information but does not include enough IRR, TVPI, or DPI data to calculate a full vintage quartile."
Parcom Buyout Fund VII,Parcom Buyout Fund,2023.0,buyout,europe,,,,,,,,€960m,UBS PFG,UBS PFG - Global Funds Coming to Market_Q1 2026.pdf,65,Parcom Buyout Fund VII €960m 2023,clean_extraction,,,,,,,,,,,,,,,Insufficient performance data,,"Parcom Buyout Fund VII by Parcom Buyout Fund is included from UBS PFG - Global Funds Coming to Market_Q1 2026.pdf. The extracted data currently includes vintage/strategy/geography information but does not include enough IRR, TVPI, or DPI data to calculate a full vintage quartile."
Quadrum Investment Fund IV,Quadrum Investment Fund,2024.0,buyout,europe,,,,,,,,€425m,UBS PFG,UBS PFG - Global Funds Coming to Market_Q1 2026.pdf,65,Quadrum Investment Fund IV €425m 2024,clean_extraction,,,,,,,,,,,,,,,Insufficient performance data,,"Quadrum Investment Fund IV by Quadrum Investment Fund is included from UBS PFG - Global Funds Coming to Market_Q1 2026.pdf. The extracted data currently includes vintage/strategy/geography information but does not include enough IRR, TVPI, or DPI data to calculate a full vintage quartile."
Sofindev VI,Sofindev,2022.0,buyout,europe,,,,,,,,€250m,UBS PFG,UBS PFG - Global Funds Coming to Market_Q1 2026.pdf,65,Sofindev VI €250m 2022,needs_review_short_name,,,,,,,,,,,,,,,Insufficient performance data,,"Sofindev VI by Sofindev is included from UBS PFG - Global Funds Coming to Market_Q1 2026.pdf. The extracted data currently includes vintage/strategy/geography information but does not include enough IRR, TVPI, or DPI data to calculate a full vintage quartile."
Synergia Capital Fund VI,Synergia Capital,2022.0,buyout,europe,,,,,,,,€200m,UBS PFG,UBS PFG - Global Funds Coming to Market_Q1 2026.pdf,65,Synergia Capital Fund VI €200m 2022,clean_extraction,,,,,,,,,,,,,,,Insufficient performance data,,"Synergia Capital Fund VI by Synergia Capital is included from UBS PFG - Global Funds Coming to Market_Q1 2026.pdf. The extracted data currently includes vintage/strategy/geography information but does not include enough IRR, TVPI, or DPI data to calculate a full vintage quartile."
Torqx Capital Partners Fund II,Torqx Capital,2022.0,buyout,europe,,,,,,,,€230m,UBS PFG,UBS PFG - Global Funds Coming to Market_Q1 2026.pdf,65,Torqx Capital Partners Fund II €230m 2022,clean_extraction,,,,,,,,,,,,,,,Insufficient performance data,,"Torqx Capital Partners Fund II by Torqx Capital is included from UBS PFG - Global Funds Coming to Market_Q1 2026.pdf. The extracted data currently includes vintage/strategy/geography information but does not include enough IRR, TVPI, or DPI data to calculate a full vintage quartile."
Waterland Private Equity Fund IX,Waterland Private Equity,2023.0,buyout,europe,,,,,,,,€3500m,UBS PFG,UBS PFG - Global Funds Coming to Market_Q1 2026.pdf,65,Waterland Private Equity Fund IX €3500m 2023,clean_extraction,,,,,,,,,,,,,,,Insufficient performance data,,"Waterland Private Equity Fund IX by Waterland Private Equity is included from UBS PFG - Global Funds Coming to Market_Q1 2026.pdf. The extracted data currently includes vintage/strategy/geography information but does not include enough IRR, TVPI, or DPI data to calculate a full vintage quartile."
Capital Fund II,Capital Fund,2025.0,buyout,europe,,,,,,,,€235m,UBS PFG,UBS PFG - Global Funds Coming to Market_Q1 2026.pdf,66,365 Capital Fund II €235m 2025,clean_extraction,,,,,,,,,,,,,,,Insufficient performance data,,"Capital Fund II by Capital Fund is included from UBS PFG - Global Funds Coming to Market_Q1 2026.pdf. The extracted data currently includes vintage/strategy/geography information but does not include enough IRR, TVPI, or DPI data to calculate a full vintage quartile."
D2E III,D2E,2024.0,buyout,europe,,,,,,,,€170m,UBS PFG,UBS PFG - Global Funds Coming to Market_Q1 2026.pdf,66,D2E III €170m 2024,needs_review_short_name,,,,,,,,,,,,,,,Insufficient performance data,,"D2E III by D2E is included from UBS PFG - Global Funds Coming to Market_Q1 2026.pdf. The extracted data currently includes vintage/strategy/geography information but does not include enough IRR, TVPI, or DPI data to calculate a full vintage quartile."
Fortino Capital PE II,Fortino Capital,2023.0,buyout,europe,,,,,,,,€377m,UBS PFG,UBS PFG - Global Funds Coming to Market_Q1 2026.pdf,66,Fortino Capital PE II €377m 2023,clean_extraction,,,,,,,,,,,,,,,Insufficient performance data,,"Fortino Capital PE II by Fortino Capital is included from UBS PFG - Global Funds Coming to Market_Q1 2026.pdf. The extracted data currently includes vintage/strategy/geography information but does not include enough IRR, TVPI, or DPI data to calculate a full vintage quartile."
Gilde Equity Management Benelux VI,Gilde Equity,2025.0,buyout,europe,,,,,,,,€600m,UBS PFG,UBS PFG - Global Funds Coming to Market_Q1 2026.pdf,66,Gilde Equity Management Benelux VI €600m 2025,clean_extraction,,,,,,,,,,,,,,,Insufficient performance data,,"Gilde Equity Management Benelux VI by Gilde Equity is included from UBS PFG - Global Funds Coming to Market_Q1 2026.pdf. The extracted data currently includes vintage/strategy/geography information but does not include enough IRR, TVPI, or DPI data to calculate a full vintage quartile."
Gilde Healthcare Climate Solutions Fund,Gilde Healthcare Climate Solutions Fund,2025.0,buyout,europe,,,,,,,,€300m,UBS PFG,UBS PFG - Global Funds Coming to Market_Q1 2026.pdf,66,Gilde Healthcare Climate Solutions Fund €300m 2025,clean_extraction,,,,,,,,,,,,,,,Insufficient performance data,,"Gilde Healthcare Climate Solutions Fund by Gilde Healthcare Climate Solutions Fund is included from UBS PFG - Global Funds Coming to Market_Q1 2026.pdf. The extracted data currently includes vintage/strategy/geography information but does not include enough IRR, TVPI, or DPI data to calculate a full vintage quartile."
Gilde Healthcare VI,Gilde Healthcare,2023.0,buyout,europe,,,,,,,,€740m,UBS PFG,UBS PFG - Global Funds Coming to Market_Q1 2026.pdf,66,Status/Vintage | 2026 | 2027 and Beyond | Gilde Healthcare VI | €740m | 2023 | Fortino Capital PE II | €377m | 2023,clean_extraction,,,,,,,,,,,,,,,Insufficient performance data,,"Gilde Healthcare VI by Gilde Healthcare is included from UBS PFG - Global Funds Coming to Market_Q1 2026.pdf. The extracted data currently includes vintage/strategy/geography information but does not include enough IRR, TVPI, or DPI data to calculate a full vintage quartile."
Holland Capital Growth & Buyout Fund V,Holland Capital,2024.0,buyout,europe,,,,,,,,€225m,UBS PFG,UBS PFG - Global Funds Coming to Market_Q1 2026.pdf,66,Holland Capital Growth & Buyout Fund V €225m 2024,clean_extraction,,,,,,,,,,,,,,,Insufficient performance data,,"Holland Capital Growth & Buyout Fund V by Holland Capital is included from UBS PFG - Global Funds Coming to Market_Q1 2026.pdf. The extracted data currently includes vintage/strategy/geography information but does not include enough IRR, TVPI, or DPI data to calculate a full vintage quartile."
Rivean Capital Fund VII,Rivean Capital,2024.0,buyout,europe,,,,,,,,"€1,650m",UBS PFG,UBS PFG - Global Funds Coming to Market_Q1 2026.pdf,66,"Rivean Capital Fund VII €1,650m 2024",clean_extraction,,,,,,,,,,,,,,,Insufficient performance data,,"Rivean Capital Fund VII by Rivean Capital is included from UBS PFG - Global Funds Coming to Market_Q1 2026.pdf. The extracted data currently includes vintage/strategy/geography information but does not include enough IRR, TVPI, or DPI data to calculate a full vintage quartile."
Strada Partners Fund I,Strada Partners,2023.0,buyout,europe,,,,,,,,€200m,UBS PFG,UBS PFG - Global Funds Coming to Market_Q1 2026.pdf,66,Strada Partners Fund I €200m 2023,clean_extraction,,,,,,,,,,,,,,,Insufficient performance data,,"Strada Partners Fund I by Strada Partners is included from UBS PFG - Global Funds Coming to Market_Q1 2026.pdf. The extracted data currently includes vintage/strategy/geography information but does not include enough IRR, TVPI, or DPI data to calculate a full vintage quartile."
Syntagma Capital I,Syntagma Capital,2024.0,buyout,europe,,,,,,,,€200m,UBS PFG,UBS PFG - Global Funds Coming to Market_Q1 2026.pdf,66,Syntagma Capital I €200m 2024,clean_extraction,,,,,,,,,,,,,,,Insufficient performance data,,"Syntagma Capital I by Syntagma Capital is included from UBS PFG - Global Funds Coming to Market_Q1 2026.pdf. The extracted data currently includes vintage/strategy/geography information but does not include enough IRR, TVPI, or DPI data to calculate a full vintage quartile."
Vendis Capital IV,Vendis Capital,2025.0,buyout,europe,,,,,,,,€525m,UBS PFG,UBS PFG - Global Funds Coming to Market_Q1 2026.pdf,66,Vendis Capital IV €525m 2025,clean_extraction,,,,,,,,,,,,,,,Insufficient performance data,,"Vendis Capital IV by Vendis Capital is included from UBS PFG - Global Funds Coming to Market_Q1 2026.pdf. The extracted data currently includes vintage/strategy/geography information but does not include enough IRR, TVPI, or DPI data to calculate a full vintage quartile."
Vortex Capital Partners Buyout Fund IV,Vortex Capital,2024.0,buyout,europe,,,,,,,,€145m,UBS PFG,UBS PFG - Global Funds Coming to Market_Q1 2026.pdf,66,Vortex Capital Partners Buyout Fund IV €145m 2024,clean_extraction,,,,,,,,,,,,,,,Insufficient performance data,,"Vortex Capital Partners Buyout Fund IV by Vortex Capital is included from UBS PFG - Global Funds Coming to Market_Q1 2026.pdf. The extracted data currently includes vintage/strategy/geography information but does not include enough IRR, TVPI, or DPI data to calculate a full vintage quartile."
CapMan Buyout XI,CapMan Buyout,2020.0,buyout,europe,,,,,,,,€190m,UBS PFG,UBS PFG - Global Funds Coming to Market_Q1 2026.pdf,71,CapMan Buyout XI €190m 2020,clean_extraction,,,,,,,,,,,,,,,Insufficient performance data,,"CapMan Buyout XI by CapMan Buyout is included from UBS PFG - Global Funds Coming to Market_Q1 2026.pdf. The extracted data currently includes vintage/strategy/geography information but does not include enough IRR, TVPI, or DPI data to calculate a full vintage quartile."
DevCo IV,DevCo,2021.0,buyout,europe,,,,,,,,€260m,UBS PFG,UBS PFG - Global Funds Coming to Market_Q1 2026.pdf,71,DevCo IV €260m 2021,needs_review_short_name,,,,,,,,,,,,,,,Insufficient performance data,,"DevCo IV by DevCo is included from UBS PFG - Global Funds Coming to Market_Q1 2026.pdf. The extracted data currently includes vintage/strategy/geography information but does not include enough IRR, TVPI, or DPI data to calculate a full vintage quartile."
FSN Capital VI,FSN Capital,2020.0,buyout,europe,,,,,,,,€1.8bn,UBS PFG,UBS PFG - Global Funds Coming to Market_Q1 2026.pdf,71,FSN Capital VI €1.8bn 2020,clean_extraction,,,,,,,,,,,,,,,Insufficient performance data,,"FSN Capital VI by FSN Capital is included from UBS PFG - Global Funds Coming to Market_Q1 2026.pdf. The extracted data currently includes vintage/strategy/geography information but does not include enough IRR, TVPI, or DPI data to calculate a full vintage quartile."
Fidelio Capital III,Fidelio Capital,2023.0,buyout,europe,,,,,,,,€1.1bn,UBS PFG,UBS PFG - Global Funds Coming to Market_Q1 2026.pdf,71,Fidelio Capital III €1.1bn 2023,clean_extraction,,,,,,,,,,,,,,,Insufficient performance data,,"Fidelio Capital III by Fidelio Capital is included from UBS PFG - Global Funds Coming to Market_Q1 2026.pdf. The extracted data currently includes vintage/strategy/geography information but does not include enough IRR, TVPI, or DPI data to calculate a full vintage quartile."
MB Equity Fund VI,MB Equity,2021.0,buyout,europe,,,,,,,,€173m,UBS PFG,UBS PFG - Global Funds Coming to Market_Q1 2026.pdf,71,MB Equity Fund VI €173m 2021,clean_extraction,,,,,,,,,,,,,,,Insufficient performance data,,"MB Equity Fund VI by MB Equity is included from UBS PFG - Global Funds Coming to Market_Q1 2026.pdf. The extracted data currently includes vintage/strategy/geography information but does not include enough IRR, TVPI, or DPI data to calculate a full vintage quartile."
Procuritas Capital Investors VII,Procuritas Capital,2022.0,buyout,europe,,,,,,,,€407m,UBS PFG,UBS PFG - Global Funds Coming to Market_Q1 2026.pdf,71,Procuritas Capital Investors VII €407m 2022,clean_extraction,,,,,,,,,,,,,,,Insufficient performance data,,"Procuritas Capital Investors VII by Procuritas Capital is included from UBS PFG - Global Funds Coming to Market_Q1 2026.pdf. The extracted data currently includes vintage/strategy/geography information but does not include enough IRR, TVPI, or DPI data to calculate a full vintage quartile."
Solix IV,Solix,,buyout,europe,,,,,,,,€500m,UBS PFG,UBS PFG - Global Funds Coming to Market_Q1 2026.pdf,71,Status/Vintage | 2026 | 2027 and Beyond | Solix IV | €500m* | Held Close | GRO Capital IV | DKK 5.0bn | Raising,needs_review_short_name,,,,,,,,,,,,,,,Insufficient performance data,,"Solix IV by Solix is included from UBS PFG - Global Funds Coming to Market_Q1 2026.pdf. The extracted data currently includes vintage/strategy/geography information but does not include enough IRR, TVPI, or DPI data to calculate a full vintage quartile."
Summa Equity Fund III,Summa Equity,2022.0,buyout,europe,,,,,,,,€2.3bn,UBS PFG,UBS PFG - Global Funds Coming to Market_Q1 2026.pdf,71,Summa Equity Fund III €2.3bn 2022,clean_extraction,,,,,,,,,,,,,,,Insufficient performance data,,"Summa Equity Fund III by Summa Equity is included from UBS PFG - Global Funds Coming to Market_Q1 2026.pdf. The extracted data currently includes vintage/strategy/geography information but does not include enough IRR, TVPI, or DPI data to calculate a full vintage quartile."
Vaaka Partners Buyout IV,Vaaka Partners,2022.0,buyout,europe,,,,,,,,€250m,UBS PFG,UBS PFG - Global Funds Coming to Market_Q1 2026.pdf,71,Vaaka Partners Buyout IV €250m 2022,clean_extraction,,,,,,,,,,,,,,,Insufficient performance data,,"Vaaka Partners Buyout IV by Vaaka Partners is included from UBS PFG - Global Funds Coming to Market_Q1 2026.pdf. The extracted data currently includes vintage/strategy/geography information but does not include enough IRR, TVPI, or DPI data to calculate a full vintage quartile."
Verdane Edda III,Verdane Edda,2022.0,buyout,europe,,,,,,,,€1.1bn,UBS PFG,UBS PFG - Global Funds Coming to Market_Q1 2026.pdf,71,Verdane Edda III €1.1bn 2022,clean_extraction,,,,,,,,,,,,,,,Insufficient performance data,,"Verdane Edda III by Verdane Edda is included from UBS PFG - Global Funds Coming to Market_Q1 2026.pdf. The extracted data currently includes vintage/strategy/geography information but does not include enough IRR, TVPI, or DPI data to calculate a full vintage quartile."
Adelis Equity Partners IV,Adelis Equity,2024.0,,europe,,,,,,,,€1.6bn,UBS PFG,UBS PFG - Global Funds Coming to Market_Q1 2026.pdf,72,Adelis Equity Partners IV €1.6bn 2024,clean_extraction,,,,,,,,,,,,,,,Insufficient performance data,,"Adelis Equity Partners IV by Adelis Equity is included from UBS PFG - Global Funds Coming to Market_Q1 2026.pdf. The extracted data currently includes vintage/strategy/geography information but does not include enough IRR, TVPI, or DPI data to calculate a full vintage quartile."
Capidea Kapital IV,Capidea Kapital,2023.0,,europe,,,,,,,,€168m,UBS PFG,UBS PFG - Global Funds Coming to Market_Q1 2026.pdf,72,Capidea Kapital IV €168m 2023,clean_extraction,,,,,,,,,,,,,,,Insufficient performance data,,"Capidea Kapital IV by Capidea Kapital is included from UBS PFG - Global Funds Coming to Market_Q1 2026.pdf. The extracted data currently includes vintage/strategy/geography information but does not include enough IRR, TVPI, or DPI data to calculate a full vintage quartile."
Catacap III,Catacap,2023.0,,europe,,,,,,,,€190m,UBS PFG,UBS PFG - Global Funds Coming to Market_Q1 2026.pdf,72,Catacap III €190m 2023,needs_review_short_name,,,,,,,,,,,,,,,Insufficient performance data,,"Catacap III by Catacap is included from UBS PFG - Global Funds Coming to Market_Q1 2026.pdf. The extracted data currently includes vintage/strategy/geography information but does not include enough IRR, TVPI, or DPI data to calculate a full vintage quartile."
Celero Capital I,Celero Capital,2024.0,,europe,,,,,,,,€275m,UBS PFG,UBS PFG - Global Funds Coming to Market_Q1 2026.pdf,72,Celero Capital I €275m 2024,clean_extraction,,,,,,,,,,,,,,,Insufficient performance data,,"Celero Capital I by Celero Capital is included from UBS PFG - Global Funds Coming to Market_Q1 2026.pdf. The extracted data currently includes vintage/strategy/geography information but does not include enough IRR, TVPI, or DPI data to calculate a full vintage quartile."
Consolid Equity III,Consolid Equity,2024.0,,europe,,,,,,,,€210m,UBS PFG,UBS PFG - Global Funds Coming to Market_Q1 2026.pdf,72,Consolid Equity III €210m 2024,clean_extraction,,,,,,,,,,,,,,,Insufficient performance data,,"Consolid Equity III by Consolid Equity is included from UBS PFG - Global Funds Coming to Market_Q1 2026.pdf. The extracted data currently includes vintage/strategy/geography information but does not include enough IRR, TVPI, or DPI data to calculate a full vintage quartile."
Creandum VII,Creandum,2024.0,,europe,,,,,,,,€500m,UBS PFG,UBS PFG - Global Funds Coming to Market_Q1 2026.pdf,72,Creandum VII €500m 2024,needs_review_short_name,,,,,,,,,,,,,,,Insufficient performance data,,"Creandum VII by Creandum is included from UBS PFG - Global Funds Coming to Market_Q1 2026.pdf. The extracted data currently includes vintage/strategy/geography information but does not include enough IRR, TVPI, or DPI data to calculate a full vintage quartile."
FSN Compass I,FSN Compass,2024.0,,europe,,,,,,,,€410m,UBS PFG,UBS PFG - Global Funds Coming to Market_Q1 2026.pdf,72,FSN Compass I €410m 2024,clean_extraction,,,,,,,,,,,,,,,Insufficient performance data,,"FSN Compass I by FSN Compass is included from UBS PFG - Global Funds Coming to Market_Q1 2026.pdf. The extracted data currently includes vintage/strategy/geography information but does not include enough IRR, TVPI, or DPI data to calculate a full vintage quartile."
Gro Generation I,Gro Generation,2024.0,,europe,,,,,,,,€150m,UBS PFG,UBS PFG - Global Funds Coming to Market_Q1 2026.pdf,72,Gro Generation I €150m 2024,clean_extraction,,,,,,,,,,,,,,,Insufficient performance data,,"Gro Generation I by Gro Generation is included from UBS PFG - Global Funds Coming to Market_Q1 2026.pdf. The extracted data currently includes vintage/strategy/geography information but does not include enough IRR, TVPI, or DPI data to calculate a full vintage quartile."
HitecVision New Energy Fund 2,HitecVision New Energy Fund 2,2025.0,,europe,,,,,,,,€1.5bn,UBS PFG,UBS PFG - Global Funds Coming to Market_Q1 2026.pdf,72,HitecVision New Energy Fund 2 €1.5bn 2025,clean_extraction,,,,,,,,,,,,,,,Insufficient performance data,,"HitecVision New Energy Fund 2 by HitecVision New Energy Fund 2 is included from UBS PFG - Global Funds Coming to Market_Q1 2026.pdf. The extracted data currently includes vintage/strategy/geography information but does not include enough IRR, TVPI, or DPI data to calculate a full vintage quartile."
Impilo II,Impilo,2024.0,,europe,,,,,,,,€700m,UBS PFG,UBS PFG - Global Funds Coming to Market_Q1 2026.pdf,72,Impilo II €700m 2024,needs_review_short_name,,,,,,,,,,,,,,,Insufficient performance data,,"Impilo II by Impilo is included from UBS PFG - Global Funds Coming to Market_Q1 2026.pdf. The extracted data currently includes vintage/strategy/geography information but does not include enough IRR, TVPI, or DPI data to calculate a full vintage quartile."
Monterro G2,Monterro G2,2025.0,,europe,,,,,,,,€350m,UBS PFG,UBS PFG - Global Funds Coming to Market_Q1 2026.pdf,72,Monterro G2 €350m 2025,needs_review_short_name,,,,,,,,,,,,,,,Insufficient performance data,,"Monterro G2 by Monterro G2 is included from UBS PFG - Global Funds Coming to Market_Q1 2026.pdf. The extracted data currently includes vintage/strategy/geography information but does not include enough IRR, TVPI, or DPI data to calculate a full vintage quartile."
Monterro V,Monterro,2025.0,,europe,,,,,,,,€1.4bn,UBS PFG,UBS PFG - Global Funds Coming to Market_Q1 2026.pdf,72,Monterro V €1.4bn 2025,needs_review_short_name,,,,,,,,,,,,,,,Insufficient performance data,,"Monterro V by Monterro is included from UBS PFG - Global Funds Coming to Market_Q1 2026.pdf. The extracted data currently includes vintage/strategy/geography information but does not include enough IRR, TVPI, or DPI data to calculate a full vintage quartile."
